Order_ID,Order_Date,Year,Month,Quarter,Region,State,Customer_Segment,Category,Product_Name,Quantity,Unit_Price,Unit_Cost,Discount,Sales,Cost,Profit,Profit_Margin
ORD-00018,2024-08-03,2024,8,Q3,North,Delhi,Corporate,Books,Tech Encyclopedia,3,55.0,17.96,0.0,165.0,53.88,111.12,67.35
ORD-00019,2024-07-16,2024,7,Q3,South,Kerala,Corporate,Food & Beverages,Protein Powder,9,38.25,18.34,0.15,344.25,165.06,179.19,52.05
ORD-00020,2023-11-16,2023,11,Q4,West,Rajasthan,Consumer,Food & Beverages,Organic Coffee,4,18.0,5.9,0.0,72.0,23.6,48.4,67.22
ORD-00021,2024-08-25,2024,8,Q3,Central,Chhattisgarh,Corporate,Electronics,"Laptop Pro 15""",4,1200.0,762.51,0.0,4800.0,3050.04,1749.96,36.46
ORD-00022,2023-12-05,2023,12,Q4,North,Uttarakhand,Consumer,Sports,Dumbbells Set,9,120.0,57.4,0.0,1080.0,516.6,563.4,52.17
ORD-00023,2024-08-07,2024,8,Q3,Central,Uttarakhand,Consumer,Furniture,Sofa Set,4,1200.0,609.54,0.0,4800.0,2438.16,2361.84,49.21
ORD-00024,2023-12-29,2023,12,Q4,West,Goa,Consumer,Sports,Yoga Mat,1,33.25,11.81,0.05,33.25,11.81,21.44,64.48
ORD-00025,2023-04-22,2023,4,Q2,South,Karnataka,Consumer,Furniture,Sofa Set,3,1200.0,584.99,0.0,3600.0,1754.97,1845.03,51.25
ORD-00026,2023-03-19,2023,3,Q1,West,Madhya Pradesh,Consumer,Sports,Swimming Goggles,1,21.0,10.43,0.25,21.0,10.43,10.57,50.33
ORD-00027,2023-08-31,2023,8,Q3,South,Andhra Pradesh,Consumer,Clothing,Denim Jeans,1,60.0,20.9,0.0,60.0,20.9,39.1,65.17
ORD-00028,2024-02-04,2024,2,Q1,East,Jharkhand,Consumer,Sports,Swimming Goggles,8,28.0,9.8,0.0,224.0,78.4,145.6,65.0
ORD-00029,2023-03-01,2023,3,Q1,Central,Himachal Pradesh,Consumer,Clothing,Winter Jacket,10,114.0,57.31,0.05,1140.0,573.1,566.9,49.73
ORD-00030,2024-06-27,2024,6,Q2,South,Tamil Nadu,Home Office,Electronics,Wireless Headphones,2,225.0,122.1,0.1,450.0,244.2,205.8,45.73
ORD-00031,2023-08-29,2023,8,Q3,West,Maharashtra,Home Office,Food & Beverages,Olive Oil Premium,10,22.0,7.67,0.0,220.0,76.7,143.3,65.14
ORD-00032,2024-11-04,2024,11,Q4,Central,Himachal Pradesh,Corporate,Beauty,Perfume Collection,6,120.0,44.53,0.0,720.0,267.18,452.82,62.89
ORD-00033,2024-11-18,2024,11,Q4,East,Jharkhand,Consumer,Sports,Yoga Mat,1,33.25,12.6,0.05,33.25,12.6,20.65,62.11
ORD-00034,2023-04-13,2023,4,Q2,North,Uttarakhand,Consumer,Clothing,Casual T-Shirt,2,20.0,7.9,0.2,40.0,15.8,24.2,60.5
ORD-00035,2023-06-11,2023,6,Q2,West,Madhya Pradesh,Corporate,Food & Beverages,Olive Oil Premium,1,19.8,8.04,0.1,19.8,8.04,11.76,59.39
ORD-00036,2024-11-10,2024,11,Q4,North,Punjab,Consumer,Beauty,Anti-Aging Cream,3,95.0,38.4,0.0,285.0,115.2,169.8,59.58
ORD-00037,2023-12-18,2023,12,Q4,South,Kerala,Corporate,Clothing,Winter Jacket,2,108.0,56.81,0.1,216.0,113.62,102.38,47.4
ORD-00038,2023-02-15,2023,2,Q1,North,Haryana,Corporate,Food & Beverages,Green Tea Pack,3,10.2,4.02,0.15,30.6,12.06,18.54,60.59
ORD-00039,2024-03-13,2024,3,Q1,Central,Uttar Pradesh,Consumer,Beauty,Perfume Collection,9,120.0,44.41,0.0,1080.0,399.69,680.31,62.99
ORD-00040,2024-07-19,2024,7,Q3,South,Andhra Pradesh,Consumer,Clothing,Winter Jacket,6,120.0,53.62,0.0,720.0,321.72,398.28,55.32
ORD-00041,2023-04-16,2023,4,Q2,East,Assam,Home Office,Furniture,Coffee Table,3,165.0,92.5,0.25,495.0,277.5,217.5,43.94
ORD-00042,2023-06-16,2023,6,Q2,South,Andhra Pradesh,Consumer,Sports,Tennis Racket,7,72.25,39.38,0.15,505.75,275.66,230.09,45.49
ORD-00043,2023-09-12,2023,9,Q3,East,Odisha,Corporate,Electronics,"Laptop Pro 15""",8,1200.0,825.33,0.0,9600.0,6602.64,2997.36,31.22
ORD-00044,2024-04-16,2024,4,Q2,East,Bihar,Corporate,Beauty,Perfume Collection,1,108.0,44.54,0.1,108.0,44.54,63.46,58.76
ORD-00045,2023-10-13,2023,10,Q4,North,Haryana,Consumer,Food & Beverages,Olive Oil Premium,6,16.5,7.69,0.25,99.0,46.14,52.86,53.39
ORD-00046,2023-09-25,2023,9,Q3,South,Telangana,Home Office,Clothing,Winter Jacket,10,114.0,56.26,0.05,1140.0,562.6,577.4,50.65
ORD-00047,2023-11-18,2023,11,Q4,West,Madhya Pradesh,Home Office,Electronics,Tablet Air,4,450.0,255.22,0.0,1800.0,1020.88,779.12,43.28
ORD-00048,2023-01-02,2023,1,Q1,Central,Himachal Pradesh,Corporate,Beauty,Perfume Collection,6,114.0,47.02,0.05,684.0,282.12,401.88,58.75
ORD-00049,2023-12-05,2023,12,Q4,Central,Madhya Pradesh,Corporate,Electronics,Smartphone X,9,900.0,544.96,0.0,8100.0,4904.64,3195.36,39.45
ORD-00050,2024-02-17,2024,2,Q1,East,Assam,Consumer,Furniture,Sofa Set,3,1080.0,588.06,0.1,3240.0,1764.18,1475.82,45.55
ORD-00051,2024-07-15,2024,7,Q3,North,Haryana,Consumer,Furniture,Coffee Table,10,198.0,94.67,0.1,1980.0,946.7,1033.3,52.19
ORD-00052,2024-03-28,2024,3,Q1,South,Telangana,Consumer,Beauty,Perfume Collection,2,120.0,45.74,0.0,240.0,91.48,148.52,61.88
ORD-00053,2024-09-26,2024,9,Q3,East,West Bengal,Corporate,Sports,Tennis Racket,4,72.25,36.66,0.15,289.0,146.64,142.36,49.26
ORD-00054,2023-02-17,2023,2,Q1,South,Andhra Pradesh,Corporate,Sports,Cycling Helmet,7,52.0,28.21,0.2,364.0,197.47,166.53,45.75
ORD-00055,2024-12-14,2024,12,Q4,West,Goa,Consumer,Electronics,"Laptop Pro 15""",2,1020.0,777.51,0.15,2040.0,1555.02,484.98,23.77
ORD-00056,2024-12-13,2024,12,Q4,Central,Uttarakhand,Consumer,Clothing,Winter Jacket,8,120.0,54.81,0.0,960.0,438.48,521.52,54.33
ORD-00057,2024-06-27,2024,6,Q2,Central,Himachal Pradesh,Consumer,Sports,Cycling Helmet,10,55.25,29.1,0.15,552.5,291.0,261.5,47.33
ORD-00058,2024-03-12,2024,3,Q1,Central,Uttarakhand,Home Office,Sports,Cycling Helmet,8,65.0,27.29,0.0,520.0,218.32,301.68,58.02
ORD-00059,2024-10-14,2024,10,Q4,East,Assam,Consumer,Clothing,Denim Jeans,2,51.0,21.42,0.15,102.0,42.84,59.16,58.0
ORD-00060,2023-12-10,2023,12,Q4,East,Assam,Consumer,Electronics,"Smart TV 55""",3,595.0,382.57,0.15,1785.0,1147.71,637.29,35.7
ORD-00061,2024-02-22,2024,2,Q1,East,Assam,Consumer,Electronics,"Smart TV 55""",7,560.0,403.36,0.2,3920.0,2823.52,1096.48,27.97
ORD-00062,2024-12-13,2024,12,Q4,North,Uttarakhand,Consumer,Electronics,Smartphone X,5,765.0,569.44,0.15,3825.0,2847.2,977.8,25.56
ORD-00063,2024-03-05,2024,3,Q1,Central,Himachal Pradesh,Corporate,Beauty,Makeup Palette,4,65.0,24.96,0.0,260.0,99.84,160.16,61.6
ORD-00064,2024-02-03,2024,2,Q1,East,Jharkhand,Corporate,Books,Business Strategy,10,36.1,12.49,0.05,361.0,124.9,236.1,65.4
ORD-00065,2024-08-29,2024,8,Q3,Central,Uttar Pradesh,Consumer,Furniture,Sofa Set,3,1200.0,592.75,0.0,3600.0,1778.25,1821.75,50.6
ORD-00066,2023-08-05,2023,8,Q3,West,Rajasthan,Consumer,Beauty,Hair Care Kit,7,55.0,19.16,0.0,385.0,134.12,250.88,65.16
ORD-00067,2023-01-20,2023,1,Q1,Central,Uttar Pradesh,Home Office,Clothing,Winter Jacket,1,102.0,57.47,0.15,102.0,57.47,44.53,43.66
ORD-00068,2023-07-24,2023,7,Q3,North,Uttarakhand,Consumer,Electronics,"Laptop Pro 15""",10,900.0,797.2,0.25,9000.0,7972.0,1028.0,11.42
ORD-00069,2023-09-20,2023,9,Q3,East,Odisha,Corporate,Beauty,Skincare Set,3,63.75,28.82,0.25,191.25,86.46,104.79,54.79
ORD-00070,2023-01-27,2023,1,Q1,East,Assam,Corporate,Beauty,Makeup Palette,4,65.0,25.48,0.0,260.0,101.92,158.08,60.8
ORD-00071,2024-10-04,2024,10,Q4,South,Tamil Nadu,Corporate,Clothing,Formal Suit,2,238.0,130.86,0.15,476.0,261.72,214.28,45.02
ORD-00072,2023-02-12,2023,2,Q1,East,Assam,Consumer,Clothing,Formal Suit,6,280.0,128.96,0.0,1680.0,773.76,906.24,53.94
ORD-00073,2024-05-16,2024,5,Q2,North,Himachal Pradesh,Home Office,Food & Beverages,Energy Bars Box,3,28.5,12.28,0.05,85.5,36.84,48.66,56.91
ORD-00074,2024-10-28,2024,10,Q4,East,Assam,Corporate,Food & Beverages,Energy Bars Box,8,28.5,12.28,0.05,228.0,98.24,129.76,56.91
ORD-00075,2023-10-02,2023,10,Q4,East,Odisha,Corporate,Electronics,"Smart TV 55""",4,595.0,402.79,0.15,2380.0,1611.16,768.84,32.3
ORD-00076,2024-11-15,2024,11,Q4,West,Rajasthan,Consumer,Books,Business Strategy,8,38.0,12.36,0.0,304.0,98.88,205.12,67.47
ORD-00077,2023-12-15,2023,12,Q4,East,Assam,Corporate,Clothing,Winter Jacket,9,90.0,52.72,0.25,810.0,474.48,335.52,41.42
ORD-00078,2024-02-21,2024,2,Q1,West,Madhya Pradesh,Corporate,Sports,Cycling Helmet,8,55.25,26.86,0.15,442.0,214.88,227.12,51.38
ORD-00079,2023-08-15,2023,8,Q3,West,Gujarat,Consumer,Food & Beverages,Energy Bars Box,9,28.5,11.91,0.05,256.5,107.19,149.31,58.21
ORD-00080,2024-07-17,2024,7,Q3,East,Bihar,Corporate,Clothing,Casual T-Shirt,4,25.0,7.75,0.0,100.0,31.0,69.0,69.0
ORD-00081,2023-05-03,2023,5,Q2,Central,Chhattisgarh,Consumer,Sports,Tennis Racket,10,59.5,38.09,0.3,595.0,380.9,214.1,35.98
ORD-00082,2023-10-17,2023,10,Q4,North,Punjab,Consumer,Clothing,Casual T-Shirt,1,21.25,7.7,0.15,21.25,7.7,13.55,63.76
ORD-00083,2023-02-16,2023,2,Q1,North,Uttarakhand,Consumer,Beauty,Makeup Palette,2,52.0,25.19,0.2,104.0,50.38,53.62,51.56
ORD-00084,2024-04-25,2024,4,Q2,West,Goa,Consumer,Beauty,Hair Care Kit,8,55.0,19.13,0.0,440.0,153.04,286.96,65.22
ORD-00085,2024-05-18,2024,5,Q2,North,Uttarakhand,Corporate,Electronics,Wireless Headphones,10,187.5,115.02,0.25,1875.0,1150.2,724.8,38.66
ORD-00086,2023-09-12,2023,9,Q3,North,Uttarakhand,Corporate,Food & Beverages,Olive Oil Premium,4,18.7,7.9,0.15,74.8,31.6,43.2,57.75
ORD-00087,2024-03-29,2024,3,Q1,East,Assam,Home Office,Clothing,Formal Suit,1,252.0,133.12,0.1,252.0,133.12,118.88,47.17
ORD-00088,2023-08-01,2023,8,Q3,South,Kerala,Corporate,Electronics,Wireless Headphones,9,250.0,114.03,0.0,2250.0,1026.27,1223.73,54.39
ORD-00089,2024-04-06,2024,4,Q2,Central,Uttarakhand,Consumer,Clothing,Casual T-Shirt,8,25.0,7.79,0.0,200.0,62.32,137.68,68.84
ORD-00090,2023-09-28,2023,9,Q3,Central,Chhattisgarh,Consumer,Food & Beverages,Protein Powder,5,36.0,17.23,0.2,180.0,86.15,93.85,52.14
ORD-00091,2023-06-19,2023,6,Q2,East,Assam,Corporate,Food & Beverages,Green Tea Pack,8,12.0,4.08,0.0,96.0,32.64,63.36,66.0
ORD-00092,2024-12-17,2024,12,Q4,West,Rajasthan,Corporate,Furniture,Office Chair,10,320.0,148.98,0.0,3200.0,1489.8,1710.2,53.44
ORD-00093,2023-11-27,2023,11,Q4,Central,Madhya Pradesh,Consumer,Clothing,Formal Suit,10,210.0,136.49,0.25,2100.0,1364.9,735.1,35.0
ORD-00094,2024-11-19,2024,11,Q4,East,Assam,Consumer,Sports,Cycling Helmet,9,58.5,29.17,0.1,526.5,262.53,263.97,50.14
ORD-00095,2023-07-05,2023,7,Q3,Central,Uttarakhand,Corporate,Furniture,Office Chair,8,320.0,147.5,0.0,2560.0,1180.0,1380.0,53.91
ORD-00096,2024-11-17,2024,11,Q4,North,Punjab,Consumer,Sports,Tennis Racket,7,72.25,38.19,0.15,505.75,267.33,238.42,47.14
ORD-00097,2024-04-10,2024,4,Q2,North,Haryana,Consumer,Electronics,"Smart TV 55""",9,560.0,380.05,0.2,5040.0,3420.45,1619.55,32.13
ORD-00098,2024-07-09,2024,7,Q3,West,Goa,Consumer,Food & Beverages,Olive Oil Premium,8,19.8,8.21,0.1,158.4,65.68,92.72,58.54
ORD-00099,2023-07-28,2023,7,Q3,East,Assam,Consumer,Clothing,Denim Jeans,2,60.0,22.29,0.0,120.0,44.58,75.42,62.85
ORD-00100,2023-09-03,2023,9,Q3,South,Kerala,Corporate,Food & Beverages,Organic Coffee,4,12.6,6.25,0.3,50.4,25.0,25.4,50.4
ORD-00101,2024-04-17,2024,4,Q2,North,Punjab,Consumer,Sports,Swimming Goggles,5,26.6,9.98,0.05,133.0,49.9,83.1,62.48
ORD-00102,2024-04-28,2024,4,Q2,South,Andhra Pradesh,Corporate,Furniture,Coffee Table,9,187.0,91.55,0.15,1683.0,823.95,859.05,51.04
ORD-00103,2023-03-13,2023,3,Q1,East,Jharkhand,Consumer,Books,Fiction Bestseller,1,22.0,6.86,0.0,22.0,6.86,15.14,68.82
ORD-00104,2024-08-24,2024,8,Q3,Central,Uttarakhand,Home Office,Furniture,Sofa Set,6,1200.0,615.77,0.0,7200.0,3694.62,3505.38,48.69
ORD-00105,2024-01-22,2024,1,Q1,West,Rajasthan,Home Office,Beauty,Perfume Collection,10,120.0,46.6,0.0,1200.0,466.0,734.0,61.17
ORD-00106,2024-02-25,2024,2,Q1,North,Haryana,Corporate,Sports,Cycling Helmet,7,45.5,28.82,0.3,318.5,201.74,116.76,36.66
ORD-00107,2024-10-29,2024,10,Q4,South,Andhra Pradesh,Home Office,Electronics,Tablet Air,6,360.0,259.35,0.2,2160.0,1556.1,603.9,27.96
ORD-00108,2024-03-26,2024,3,Q1,North,Uttarakhand,Home Office,Electronics,Wireless Headphones,7,200.0,125.64,0.2,1400.0,879.48,520.52,37.18
ORD-00109,2023-03-18,2023,3,Q1,West,Rajasthan,Consumer,Sports,Yoga Mat,6,28.0,12.43,0.2,168.0,74.58,93.42,55.61
ORD-00110,2024-01-25,2024,1,Q1,East,Jharkhand,Home Office,Electronics,"Laptop Pro 15""",4,1080.0,833.67,0.1,4320.0,3334.68,985.32,22.81
ORD-00111,2023-08-21,2023,8,Q3,North,Himachal Pradesh,Home Office,Sports,Yoga Mat,8,35.0,11.76,0.0,280.0,94.08,185.92,66.4
ORD-00112,2023-01-30,2023,1,Q1,North,Haryana,Corporate,Clothing,Casual T-Shirt,7,25.0,8.02,0.0,175.0,56.14,118.86,67.92
ORD-00113,2024-08-02,2024,8,Q3,South,Karnataka,Consumer,Food & Beverages,Energy Bars Box,10,27.0,12.0,0.1,270.0,120.0,150.0,55.56
ORD-00114,2024-08-20,2024,8,Q3,South,Karnataka,Consumer,Clothing,Casual T-Shirt,1,20.0,7.97,0.2,20.0,7.97,12.03,60.15
ORD-00115,2023-10-22,2023,10,Q4,Central,Chhattisgarh,Consumer,Beauty,Anti-Aging Cream,5,85.5,37.71,0.1,427.5,188.55,238.95,55.89
ORD-00116,2023-09-14,2023,9,Q3,West,Rajasthan,Consumer,Furniture,Sofa Set,2,1200.0,604.32,0.0,2400.0,1208.64,1191.36,49.64
ORD-00117,2024-08-11,2024,8,Q3,East,Bihar,Consumer,Books,Self-Help Guide,5,28.0,9.33,0.0,140.0,46.65,93.35,66.68
ORD-00118,2023-02-20,2023,2,Q1,Central,Uttarakhand,Corporate,Beauty,Perfume Collection,10,102.0,43.74,0.15,1020.0,437.4,582.6,57.12
ORD-00119,2023-07-14,2023,7,Q3,Central,Madhya Pradesh,Corporate,Sports,Dumbbells Set,2,96.0,55.8,0.2,192.0,111.6,80.4,41.88
ORD-00120,2023-11-13,2023,11,Q4,West,Maharashtra,Corporate,Sports,Yoga Mat,5,35.0,11.9,0.0,175.0,59.5,115.5,66.0
ORD-00121,2023-07-25,2023,7,Q3,South,Telangana,Home Office,Clothing,Formal Suit,5,224.0,126.84,0.2,1120.0,634.2,485.8,43.38
ORD-00122,2024-05-08,2024,5,Q2,East,Bihar,Corporate,Furniture,Office Chair,3,272.0,145.88,0.15,816.0,437.64,378.36,46.37
ORD-00123,2024-11-23,2024,11,Q4,West,Madhya Pradesh,Consumer,Books,Data Science Handbook,5,42.75,14.93,0.05,213.75,74.65,139.1,65.08
ORD-00124,2024-11-19,2024,11,Q4,East,Assam,Consumer,Food & Beverages,Green Tea Pack,2,10.8,3.99,0.1,21.6,7.98,13.62,63.06
ORD-00125,2024-09-26,2024,9,Q3,Central,Madhya Pradesh,Home Office,Clothing,Winter Jacket,8,96.0,53.91,0.2,768.0,431.28,336.72,43.84
ORD-00126,2024-02-23,2024,2,Q1,North,Punjab,Consumer,Electronics,"Smart TV 55""",2,700.0,415.49,0.0,1400.0,830.98,569.02,40.64
ORD-00127,2023-05-19,2023,5,Q2,West,Goa,Consumer,Beauty,Anti-Aging Cream,7,85.5,38.86,0.1,598.5,272.02,326.48,54.55
ORD-00128,2024-02-29,2024,2,Q1,North,Himachal Pradesh,Corporate,Beauty,Hair Care Kit,1,49.5,19.43,0.1,49.5,19.43,30.07,60.75
ORD-00129,2024-03-31,2024,3,Q1,South,Kerala,Consumer,Sports,Swimming Goggles,6,28.0,9.78,0.0,168.0,58.68,109.32,65.07
ORD-00130,2023-05-06,2023,5,Q2,West,Maharashtra,Corporate,Food & Beverages,Olive Oil Premium,1,22.0,7.87,0.0,22.0,7.87,14.13,64.23
ORD-00131,2023-05-09,2023,5,Q2,Central,Chhattisgarh,Consumer,Sports,Dumbbells Set,10,120.0,57.03,0.0,1200.0,570.3,629.7,52.48
ORD-00132,2023-12-03,2023,12,Q4,South,Telangana,Consumer,Books,Business Strategy,3,36.1,12.36,0.05,108.3,37.08,71.22,65.76
ORD-00133,2023-04-23,2023,4,Q2,North,Punjab,Consumer,Books,Business Strategy,10,38.0,11.61,0.0,380.0,116.1,263.9,69.45
ORD-00134,2023-02-23,2023,2,Q1,South,Andhra Pradesh,Corporate,Sports,Cycling Helmet,8,55.25,28.04,0.15,442.0,224.32,217.68,49.25
ORD-00135,2023-04-22,2023,4,Q2,West,Madhya Pradesh,Consumer,Food & Beverages,Olive Oil Premium,5,20.9,8.37,0.05,104.5,41.85,62.65,59.95
ORD-00136,2023-03-04,2023,3,Q1,West,Goa,Consumer,Electronics,"Smart TV 55""",2,560.0,392.88,0.2,1120.0,785.76,334.24,29.84
ORD-00137,2023-06-01,2023,6,Q2,North,Punjab,Consumer,Food & Beverages,Olive Oil Premium,6,22.0,8.08,0.0,132.0,48.48,83.52,63.27
ORD-00138,2023-10-29,2023,10,Q4,West,Madhya Pradesh,Corporate,Electronics,"Laptop Pro 15""",9,1020.0,777.2,0.15,9180.0,6994.8,2185.2,23.8
ORD-00139,2024-04-07,2024,4,Q2,South,Andhra Pradesh,Consumer,Furniture,Sofa Set,2,1200.0,588.75,0.0,2400.0,1177.5,1222.5,50.94
ORD-00140,2023-09-19,2023,9,Q3,East,Odisha,Corporate,Furniture,Office Chair,2,320.0,143.95,0.0,640.0,287.9,352.1,55.02
ORD-00141,2024-01-17,2024,1,Q1,South,Telangana,Consumer,Beauty,Anti-Aging Cream,6,85.5,37.66,0.1,513.0,225.96,287.04,55.95
ORD-00142,2024-11-12,2024,11,Q4,West,Maharashtra,Home Office,Food & Beverages,Green Tea Pack,2,10.8,3.89,0.1,21.6,7.78,13.82,63.98
ORD-00143,2024-11-03,2024,11,Q4,West,Gujarat,Corporate,Clothing,Formal Suit,6,280.0,127.12,0.0,1680.0,762.72,917.28,54.6
ORD-00144,2023-08-20,2023,8,Q3,West,Madhya Pradesh,Home Office,Books,Tech Encyclopedia,9,55.0,18.77,0.0,495.0,168.93,326.07,65.87
ORD-00145,2024-12-11,2024,12,Q4,East,West Bengal,Consumer,Sports,Tennis Racket,6,85.0,36.79,0.0,510.0,220.74,289.26,56.72
ORD-00146,2023-05-27,2023,5,Q2,Central,Uttarakhand,Consumer,Sports,Yoga Mat,2,29.75,11.66,0.15,59.5,23.32,36.18,60.81
ORD-00147,2024-03-05,2024,3,Q1,West,Rajasthan,Consumer,Clothing,Casual T-Shirt,10,22.5,8.31,0.1,225.0,83.1,141.9,63.07
ORD-00148,2023-06-09,2023,6,Q2,South,Telangana,Consumer,Electronics,"Smart TV 55""",7,665.0,397.68,0.05,4655.0,2783.76,1871.24,40.2
ORD-00149,2023-10-07,2023,10,Q4,South,Telangana,Consumer,Furniture,Bookshelf,10,171.0,76.25,0.05,1710.0,762.5,947.5,55.41
ORD-00150,2023-02-16,2023,2,Q1,South,Andhra Pradesh,Home Office,Electronics,Wireless Headphones,5,187.5,123.21,0.25,937.5,616.05,321.45,34.29
ORD-00151,2023-09-19,2023,9,Q3,East,Bihar,Consumer,Furniture,Sofa Set,3,1200.0,601.95,0.0,3600.0,1805.85,1794.15,49.84
ORD-00152,2023-08-24,2023,8,Q3,Central,Himachal Pradesh,Corporate,Books,Data Science Handbook,7,36.0,14.31,0.2,252.0,100.17,151.83,60.25
ORD-00153,2023-01-20,2023,1,Q1,West,Maharashtra,Home Office,Food & Beverages,Olive Oil Premium,7,18.7,7.93,0.15,130.9,55.51,75.39,57.59
ORD-00154,2023-04-28,2023,4,Q2,West,Maharashtra,Home Office,Electronics,Tablet Air,8,360.0,260.49,0.2,2880.0,2083.92,796.08,27.64
ORD-00155,2023-04-01,2023,4,Q2,West,Maharashtra,Consumer,Food & Beverages,Olive Oil Premium,2,22.0,7.85,0.0,44.0,15.7,28.3,64.32
ORD-00156,2023-12-14,2023,12,Q4,South,Kerala,Corporate,Electronics,"Laptop Pro 15""",9,1140.0,832.47,0.05,10260.0,7492.23,2767.77,26.98
ORD-00157,2023-12-24,2023,12,Q4,East,Odisha,Consumer,Electronics,Wireless Headphones,3,225.0,123.12,0.1,675.0,369.36,305.64,45.28
ORD-00158,2024-11-02,2024,11,Q4,North,Punjab,Home Office,Food & Beverages,Energy Bars Box,10,25.5,11.94,0.15,255.0,119.4,135.6,53.18
ORD-00159,2024-08-01,2024,8,Q3,Central,Madhya Pradesh,Home Office,Food & Beverages,Protein Powder,8,45.0,17.9,0.0,360.0,143.2,216.8,60.22
ORD-00160,2023-11-07,2023,11,Q4,East,Assam,Consumer,Food & Beverages,Green Tea Pack,8,11.4,3.82,0.05,91.2,30.56,60.64,66.49
ORD-00161,2023-10-21,2023,10,Q4,North,Delhi,Corporate,Food & Beverages,Energy Bars Box,10,27.0,12.35,0.1,270.0,123.5,146.5,54.26
ORD-00162,2023-02-12,2023,2,Q1,West,Madhya Pradesh,Corporate,Clothing,Denim Jeans,9,60.0,21.04,0.0,540.0,189.36,350.64,64.93
ORD-00163,2023-04-16,2023,4,Q2,East,West Bengal,Corporate,Electronics,Wireless Headphones,8,175.0,120.29,0.3,1400.0,962.32,437.68,31.26
ORD-00164,2024-09-16,2024,9,Q3,South,Kerala,Consumer,Clothing,Denim Jeans,6,54.0,21.02,0.1,324.0,126.12,197.88,61.07
ORD-00165,2024-10-08,2024,10,Q4,East,West Bengal,Consumer,Food & Beverages,Energy Bars Box,5,30.0,12.42,0.0,150.0,62.1,87.9,58.6
ORD-00166,2024-09-09,2024,9,Q3,South,Kerala,Consumer,Sports,Tennis Racket,5,63.75,38.75,0.25,318.75,193.75,125.0,39.22
ORD-00167,2024-02-06,2024,2,Q1,South,Telangana,Corporate,Electronics,Tablet Air,7,405.0,245.71,0.1,2835.0,1719.97,1115.03,39.33
ORD-00168,2023-05-11,2023,5,Q2,Central,Uttar Pradesh,Corporate,Furniture,Bookshelf,1,180.0,72.6,0.0,180.0,72.6,107.4,59.67
ORD-00169,2023-08-08,2023,8,Q3,East,Jharkhand,Consumer,Beauty,Perfume Collection,2,120.0,46.3,0.0,240.0,92.6,147.4,61.42
